experiment_id,experiment_version,experiment_config_sha256,phase,seed,prediction_random_seed,draw_date,scorer_name,window,decay,hot_window,cold_window,hot_weight,number_score_weight,structure_score_weight,target_front_pool_size,core_number_count,target_issue,data_cutoff_issue,strategy_name,random_seed,best_front_hits,best_back_hits,best_total_hits,at_least_three_front,at_least_2_plus_1,ticket_hit_share,unique_hit_concentration,any_prize,front_pool_coverage,back_pool_coverage,total_cost,total_prize,roi,prize_rule_version,prize_data_available,random_baseline_seed_count,random_metric_percentiles,risk_disclaimer,portfolio_strategy,candidate_generation_method
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270000,2008-01-19,uniform_score,,,,,,1.0,0.0,18,2,08008,08007,random_baseline,20270000,2,1,3,False,True,0.3333333333333333,0.4285714285714285,,5,2,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 85.25, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 89.95, 'front_pool_coverage': 98.15, 'back_pool_coverage': 83.1, 'unique_hit_concentration': 25.05}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270100,2008-01-21,uniform_score,,,,,,1.0,0.0,18,2,08009,08008,random_baseline,20270100,2,1,2,False,False,0.4,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270200,2008-01-23,uniform_score,,,,,,1.0,0.0,18,2,08010,08009,random_baseline,20270200,2,1,3,False,True,0.6,0.6,,4,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 85.25, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 89.95, 'front_pool_coverage': 87.15, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 61.1}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270300,2008-01-26,uniform_score,,,,,,1.0,0.0,18,2,08011,08010,random_baseline,20270300,2,0,2,False,False,0.4,0.6666666666666666,,3,0,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 6.9, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 6.9, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270400,2008-01-28,uniform_score,,,,,,1.0,0.0,18,2,08012,08011,random_baseline,20270400,2,1,2,False,False,0.2857142857142857,0.3333333333333333,,4,2,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 87.15, 'back_pool_coverage': 83.1, 'unique_hit_concentration': 8.45}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270500,2008-01-30,uniform_score,,,,,,1.0,0.0,18,2,08013,08012,random_baseline,20270500,1,1,2,False,False,0.5,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270600,2008-02-02,uniform_score,,,,,,1.0,0.0,18,2,08014,08013,random_baseline,20270600,3,1,4,True,True,0.4444444444444444,0.8,,4,1,10,,,,False,1000,"{'best_front_hits': 96.55, 'best_back_hits': 53.25, 'best_total_hits': 98.45, 'at_least_three_front': 96.6, 'at_least_2_plus_1': 89.95, 'front_pool_coverage': 87.15, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 90.3}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270700,2008-02-04,uniform_score,,,,,,1.0,0.0,18,2,08015,08014,random_baseline,20270700,1,1,2,False,False,0.2857142857142857,0.4,,3,2,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 83.1, 'unique_hit_concentration': 19.25}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270800,2008-02-13,uniform_score,,,,,,1.0,0.0,18,2,08016,08015,random_baseline,20270800,2,1,3,False,True,0.375,0.6,,4,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 85.25, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 89.95, 'front_pool_coverage': 87.15, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 61.1}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20270900,2008-02-16,uniform_score,,,,,,1.0,0.0,18,2,08017,08016,random_baseline,20270900,1,1,2,False,False,0.3333333333333333,0.5,,2,2,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 83.1, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
